Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
1/31/23 19:49,Gothenburg,NE,USA,Fireball,3 seconds,"Saw trailblazer that moves very rapid and moved with sparkling tail behind and then when it disappears, sparkling tail disappears",3/6/23,
1/31/23 19:15,Sulphur Springs,IN,USA,Circle,10 seconds,Fast spherical orange light,3/6/23,Yes
1/31/23 18:38,El Granada,CA,USA,Light,1/5 Second,"Image of these UFO's were capture with Nikon D850, never personally view objects, only discovered after viewing image the next day.",4/9/23,Yes
1/31/23 14:30,Layton,,,Circle,Around 30 seconds,Working outside with two dozen others looked up and saw this object over the moon,3/6/23,
1/31/23 08:20,Larnaca,Larnaca District,Cyprus,Other,1 minute,Something like drone,3/6/23,Yes
1/30/23 21:15,Richmond,VA,USA,Circle,Five minutes,Unexplained movement of one object and 40 or so more objects.,3/6/23,Yes
1/30/23 20:55,Orlando,FL,USA,Triangle,1-2 seconds passing by,I rushed outside to check if it was a drone or an airplane but it was gone.,3/6/23,
1/30/23 17:13,Collinsville,CT,USA,Light,Unknown,Driving along River Road saw glowing orange object two tails hovering,3/6/23,
1/30/23 16:47,Roseville,MN,USA,Triangle,30 seconds,Bright shimmering triangle-shaped craft in the northwestern sky.,3/6/23,
1/30/23 13:50,Princeton,MN,USA,Unknown,A few seconds,Translucent distortion,3/6/23,
1/29/23 23:59,Myrtle Beach,SC,USA,Orb,10+ minutes,Woke up to see a bright orange yellow light through the trees of my backyard.,3/6/23,
1/29/23 22:24,Northport,NY,USA,Chevron,,"2 UFO at low level, tree tops",3/6/23,
1/29/23 21:30,Vernonia,OR,USA,Light,2 vids = 30 secs & 3 pics,Light flew over and hit the uturn after 45 secs.,4/9/23,Yes
1/29/23 21:16,Lowell,MA,USA,Light,5 minutes,Red almost diamond shape lights floating across sky at a slow pace,3/6/23,
1/29/23 21:05,Clearwater Beach,FL,USA,Circle,,Strange lights appeared over the water.,3/6/23,Yes
1/29/23 20:30,Mount Vernon,WA,USA,Changing,40 min,Color changing light that shifted shape,3/6/23,
1/29/23 20:30,"West Bromwich, West Midlands",Warwickshire,United Kingdom,Triangle,3-8s,"Large triangular very low hovering aircrafts just above and slightly to right of my car, with multiple coloured lights underneath",3/6/23,
1/29/23 20:24,National Park,NJ,USA,Light,2-5 minutes,"The object was moving fast but not too fast, too fast to be and airplane and not to slow to be mistaken as a drone",3/6/23,
1/29/23 19:23,Monterey,CA,USA,Triangle,~30 seconds,3 dimmed lights making triangle formation. Slight black/grey outline of triangle shape.,3/6/23,
1/29/23 19:08,North Bend,OR,USA,Changing,2 hours,The object hovered in place changing from a teardrop shape to triangle to flying saucer shape. It tilted at an angle of 45 degrees,3/6/23,Yes
1/29/23 19:00,Newark,NJ,USA,Orb,2 minutes,Glowing orb approached aircraft spotted from Porter Airlines flight from Toronto-Newark,3/6/23,
1/29/23 18:45,Lexington,KY,USA,Other,2-5 minutes,Big blue light stationery a few hundred yards wide very low just above the fog barrier.,3/6/23,Yes
1/29/23 17:02,Chatsworth,,USA,Circle,about 7 min,Seven to ten crescent/circle shaped objects in the evening sky over theChatsworth mountain,3/6/23,
1/29/23 17:00,SanJuan Island,WA,USA,Circle,5 min approx,Viewed odd objects launching off ocean or base Mt Rainier,3/6/23,Yes
1/29/23 15:16,Paso Robles,CA,USA,Unknown,Like 10 to 15 seconds,I was taking a picture of the moon And noticed something else,3/6/23,Yes
1/29/23 15:00,Albany,NY,USA,Oval,Half hour,I have had many sightings throughout my life,3/6/23,
1/29/23 10:20,Sparwood,BC,Canada,Light,4 seconds,A green luminescent light flew across the valley over the town towards the coal mine....very straight line at a high speed,3/6/23,
1/29/23 01:48,Lynnwood,WA,USA,Triangle,1 to 3 seconds,Picture of a triangle shaped object,3/6/23,Yes
1/28/23 23:00,Harrisburg,NC,USA,Circle,More than a hour,Seem to jump around several times,3/6/23,
1/28/23 20:39,"Littlestown,",PA,USA,Cigar,15 minutes,Weird object hanging in sky with lights all around,3/6/23,
1/28/23 20:30,Mount vernon,OH,USA,Light,30 seconds,"Low-flying object, 3 lights in a straight line, moving slowly, no noise.",3/6/23,
